Rank,Country,Life expectancy at birth,Date of Information,,,,,,,,,,,,
173,Niger, 62.4 ,2020,,,,,,,,,,,,
174,Gambia, 62.1 ,2020,,,,,,,,,,,,
175,Benin, 61.8 ,2020,,,,,,,,,,,,
176,Guinea, 61.6 ,2020,,,,,,,,,,,,
177,Burkina Faso, 61.6 ,2020,,,,,,,,,,,,
178,Burundi, 61.6 ,2020,,,,,,,,,,,,
179,Zimbabwe, 61.5 ,2020,,,,,,,,,,,,
180,Sub-Saharan Africa, 61.5 ,2020,,,,,,,,,,,,
181,Angola, 61.2 ,2020,,,,,,,,,,,,
182,Togo, 61.0 ,2020,,,,,,,,,,,,
183,Mozambique, 60.9 ,2020,,,,,,,,,,,,
184,DR Congo, 60.7 ,2020,,,,,,,,,,,,
185,Eswatini, 60.2 ,2020,,,,,,,,,,,,
186,Cameroon, 59.3 ,2020,,,,,,,,,,,,
187,Mali, 59.3 ,2020,,,,,,,,,,,,
188,Equatorial Guinea, 58.7 ,2020,,,,,,,,,,,,
189,Guinea-Bissau, 58.3 ,2020,,,,,,,,,,,,
190,South Sudan, 57.9 ,2020,,,,,,,,,,,,
191,Ivory Coast, 57.8 ,2020,,,,,,,,,,,,
192,Nigeria, 54.7 ,2020,,,,,,,,,,,,
193,Sierra Leone, 54.7 ,2020,,,,,,,,,,,,
194,Lesotho, 54.3 ,2020,,,,,,,,,,,,
195,Chad, 54.2 ,2020,,,,,,,,,,,,
196,Central African Republic, 53.3 ,2020,,,,,,,,,,,,
